Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
344,Crown Holdings,,Materials,"Packaging, Containers",yes,-27,no,yes,,no,no,no,25000,9574.2,12010,-7.2,450,-38.1,15034,Public,9574
345,Avis Budget Group,,Retailing,"Automotive Retailing, Services",yes,1,yes,no,,no,no,no,21250,4344,12008,0.1,1632,-41,32569,Public,4344
346,Wayfair,,Retailing,Internet Services and Retailing,no,-10,no,yes,,no,no,no,12800,8174.7,12003,-1.8,-738,,3474,Public,8175
347,MasTec,,Engineering & Construction,Engineering & Construction,no,47,yes,no,,no,yes,no,34000,7393,11995.9,22.7,-49.9,-249.8,9373.5,Public,7393
348,Eversource Energy,,Energy,Utilities: Gas and Electric,no,-13,no,yes,,no,no,no,10171,20962.9,11910.7,-3.1,-442.2,-131.5,55612.2,Public,20963
349,Newmont,,Energy,"Mining, Crude-Oil Production",no,-1,no,yes,,no,no,no,21700,41315.9,11812,-0.9,-2494,,55506,Public,41316
350,Ryder System,,Transportation,Transportation and Logistics,yes,-5,no,yes,,no,yes,no,47500,5320.5,11783,-1.9,406,-53.2,15778,Public,5321
351,Fidelity National Financial,,Financials,Insurance: Property and Casualty (Stock),yes,8,yes,no,,no,no,no,22293,14507.3,11752,1.7,517,-54.5,80614,Public,14507
352,Molson Coors Beverage,,"Food, Beverages & Tobacco",Beverages,yes,22,yes,no,,no,no,no,16500,14297.8,11702.1,9.4,948.9,,26375.1,Public,14298
353,Caesars Entertainment,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,1,yes,no,,no,no,no,51000,9461,11673,0.2,786,,33366,Public,9461
354,Lincoln National,,Financials,"Insurance: Life, Health (stock)",no,-132,no,yes,,no,no,no,11024,5417.5,11645,-37.9,-752,,372413,Public,5418
355,VF,,Apparel,Apparel,yes,-6,no,yes,,no,no,no,26400,5964.4,11612.5,-1.9,118.6,-91.5,13990.5,Public,5964
356,International Flavors & Fragrances,,Chemicals,Chemicals,no,-24,no,yes,,no,no,no,21500,21954.9,11479,-7.7,-2567,,30978,Public,21955
357,Huntington Ingalls Industries,,Aerospace & Defense,Aerospace & Defense,yes,18,yes,no,,no,no,no,44000,11544.7,11454,7.3,681,17.6,11215,Public,11545
358,Advance Auto Parts,,Retailing,Specialty Retailers: Other,yes,10,yes,no,,no,no,no,54500,5072.2,11287.6,1.2,29.7,-93.6,12276.3,Public,5072
359,Public Service Enterprise Group,,Energy,Utilities: Gas and Electric,yes,33,yes,no,,no,no,no,12543,33295.6,11237,14.7,2563,148.6,50741,Public,33296
360,Ulta Beauty,,Retailing,Specialty Retailers: Other,yes,23,yes,no,,no,no,no,38000,25238.8,11207.3,9.8,1291,3.9,5707,Public,25239
361,Hershey,,"Food, Beverages & Tobacco",Food Consumer Products,yes,19,yes,no,,no,no,no,19578,39719.1,11165,7.2,1861.8,13.2,11902.9,Public,39719
362,Chewy,,Retailing,Internet Services and Retailing,yes,27,yes,no,,no,yes,no,18100,6919.5,11147.7,10.4,39.6,-19.6,3186.9,Public,6920
363,American Tower,,Financials,Real estate,yes,10,yes,no,,no,no,no,5643,92146.5,11144.2,4,1483.3,-16,66027.6,Public,92147
364,Mohawk Industries,,Household Products,"Home Equipment, Furnishings",no,-13,no,yes,,no,no,no,43300,8337.2,11135.1,-5.1,-439.5,-1840.9,13559.9,Public,8337
365,Assurant,,Financials,Insurance: Property and Casualty (Stock),yes,19,yes,no,,no,no,no,13600,9784.3,11131.6,9.2,642.5,132.3,33635.2,Public,9784
366,Thor Industries,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,-112,no,yes,,no,no,no,24900,6257.1,11121.6,-31.8,374.3,-67.1,7260.8,Public,6257
367,Graybar Electric,,Wholesalers,Wholesalers: Diversified,yes,11,yes,no,,no,yes,no,9500,,11042.4,4.8,463.4,2.3,4006.1,Private,
368,Yum China Holdings,,"Hotels, Restaurants & Leisure",Food Services,yes,37,yes,no,,no,yes,no,293500,15598.8,10978,14.7,827,87.1,12031,Public,15599
369,Celanese,,Chemicals,Chemicals,yes,27,yes,no,,no,no,no,12410,19173.3,10940,13.1,1960,3.5,26597,Public,19173
370,Qurate Retail,,Retailing,Internet Services and Retailing,no,-28,no,yes,,no,no,no,20386,510.9,10915,-9.8,-145,,11368,Public,511
371,Williams,,Energy,Pipelines,yes,-1,no,yes,,no,no,no,5601,47482,10907,-0.5,3179,55.1,52627,Public,47482
372,Interpublic Group,,Business Services,"Advertising, marketing",yes,-1,no,yes,,no,no,no,57400,12357.8,10889.3,-0.4,1098.4,17.1,19267.3,Public,12358
373,Ovintiv,,Energy,"Mining, Crude-Oil Production",yes,-44,no,yes,,no,no,no,1743,13958.7,10883,-12.7,2085,-42.7,19987,Public,13959
374,Icahn Enterprises,,Financials,Diversified Financials,no,-80,no,yes,,no,no,no,15038,7297.9,10847,-23.1,-684,,20858,Public,7298
375,Huntington Bancshares,,Financials,Commercial Banks,yes,91,yes,no,,no,no,no,19955,20308.6,10837,36.3,1951,-12.8,189368,Public,20309
376,Erie Insurance Group,,Financials,Insurance: Property and Casualty (Mutual),no,38,yes,no,,no,no,no,6510,,10812.5,16.3,-526.6,,27515.2,Private,
377,Carvana,,Retailing,"Automotive Retailing, Services",yes,-69,no,yes,,no,no,no,13700,16943.7,10771,-20.8,450,,7071,Public,16944
378,Hess,,Energy,"Mining, Crude-Oil Production",yes,-20,no,yes,,no,no,no,1756,46883.7,10645,-8,1382,-34.1,24007,Public,46884
379,Dana,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,8,yes,no,,no,no,no,41800,1840.9,10555,3.9,38,,7965,Public,1841
380,Alcoa,,Materials,Metals,no,-49,no,yes,,no,no,no,13600,6067.3,10551,-15.3,-651,,14155,Public,6067
381,Equitable Holdings,,Financials,"Insurance: Life, Health (stock)",yes,-83,no,yes,,no,no,no,10700,12532.3,10528,-24.9,1302,-27.1,276814,Public,12532
382,KLA,,Technology,Semiconductors and Other Electronic Components,yes,34,yes,no,,no,no,no,15105,94470.2,10496.1,13.9,3387.3,2,14072.4,Public,94470
383,Darden Restaurants,,"Hotels, Restaurants & Leisure",Food Services,yes,19,yes,no,,no,no,no,187384,19959.5,10487.8,8.9,981.9,3.1,10241.5,Public,19960
384,Autoliv,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,45,yes,no,,no,no,no,66434,9809.7,10475,18.5,488,15.4,8332,Public,9810
385,Alaska Air Group,,Transportation,Airlines,yes,13,yes,no,,no,no,no,24610,5408.1,10426,8.1,235,305.2,14613,Public,5408
386,KeyCorp,,Financials,Commercial Banks,yes,73,yes,no,,no,no,no,17692,14663.3,10397,27.9,967,-49.6,188281,Public,14663
387,Las Vegas Sands,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,326,yes,no,,no,yes,no,38550,38840.4,10372,139.1,1221,-33.4,21778,Public,38840
388,Owens & Minor,,Health Care,Wholesalers: Health Care,no,2,yes,no,,no,no,no,22200,2122.5,10334,3.8,-41.3,-284.5,5093.3,Public,2123
389,Hilton Worldwide Holdings,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,42,yes,no,,no,yes,yes,178000,53788.4,10235,16.7,1141,-9.1,15401,Public,53788
390,Ebay,,Technology,Internet Services and Retailing,yes,3,yes,no,,no,no,no,12300,27340,10112,3.2,2767,,21620,Public,27340
391,Arthur J. Gallagher,,Financials,Diversified Financials,yes,52,yes,no,,no,no,no,52118,54584.4,10071.9,17.8,969.5,-13,51615.8,Public,54584
392,LPL Financial Holdings,,Financials,Securities,yes,48,yes,no,,no,no,no,7372,19735.9,10052.8,16.9,1066.3,26.1,10385.5,Public,19736
393,Cincinnati Financial,,Financials,Insurance: Property and Casualty (Stock),yes,141,yes,no,,no,no,no,5426,19456.1,10013.4,52.7,1843.3,,32769.5,Public,19456
394,Toll Brothers,,Engineering & Construction,Homebuilders,yes,-12,no,yes,,no,yes,no,4800,13476.5,9994.9,-2.7,1372.1,6.7,12527,Public,13477
395,Motorola Solutions,,Technology,Network and Other Communications Equipment,yes,23,yes,no,,no,no,no,21000,59141.7,9978,9.5,1709,25.4,13336,Public,59142
396,Airbnb,,Technology,Internet Services and Retailing,yes,54,yes,no,,no,yes,no,6907,106739.8,9917,18.1,4792,153.1,20645,Public,106740
397,Intercontinental Exchange,,Financials,Securities,yes,4,yes,no,,no,no,no,13222,78694.7,9903,2.8,2368,63.8,136084,Public,78695
398,News Corp.,,Media,"Publishing, Printing",yes,-17,no,yes,,no,no,no,25000,15120.1,9879,-4.9,149,-76.1,16921,Public,15120
399,Chipotle Mexican Grill,,"Hotels, Restaurants & Leisure",Food Services,yes,39,yes,no,,no,yes,no,116068,79707,9871.6,14.3,1228.7,36.7,8044.4,Public,79707
400,Vertex Pharmaceuticals,,Health Care,Pharmaceuticals,yes,27,yes,no,,no,no,yes,5400,107975.3,9869.2,10.5,3619.6,9,22730.2,Public,107975
401,Biogen,,Health Care,Pharmaceuticals,yes,-15,no,yes,,no,no,no,7570,31344.1,9835.6,-3.3,1161.1,-61.9,26844.8,Public,31344
402,GXO Logistics,,Transportation,Transportation and Logistics,yes,21,yes,no,,no,no,no,109000,6411.5,9778,8.7,229,16.2,9507,Public,6412
403,SpartanNash,,Wholesalers,Wholesalers: Food and Grocery,yes,-4,no,yes,,no,no,no,13500,699.6,9729.2,0.9,52.2,51.3,2355.6,Public,700
404,Burlington Stores,,Retailing,Specialty Retailers: Apparel,yes,30,yes,no,,no,no,no,44050,14841.4,9727.5,11.8,339.6,47.6,7706.8,Public,14841
405,Thrivent Financial for Lutherans,,Financials,"Insurance: Life, Health (Mutual)",yes,7,yes,no,,no,no,no,3810,,9720.3,4,347.2,-68,115628.7,Private,
406,NVR,,Engineering & Construction,Homebuilders,yes,-30,no,yes,,no,no,no,6300,25904.2,9687.3,-8.4,1591.6,-7.8,6601.8,Public,25904
407,Owens Corning,,Materials,"Building Materials, Glass",yes,-12,no,yes,,no,no,no,18000,14510.2,9677,-0.9,1196,-3.6,11237,Public,14510
407,Westinghouse Air Brake Technologies,,Industrials,Industrial Machinery,yes,46,yes,no,,no,no,no,29000,25789.6,9677,15.7,815,28.8,18988,Public,25790
409,Oshkosh,,Industrials,Construction and Farm Machinery,yes,46,yes,no,,no,no,no,17300,8178.1,9657.9,16.6,598,243.9,9129.2,Public,8178
410,Global Payments,,Business Services,Financial Data Services,yes,15,yes,no,,no,no,no,27000,34094.6,9654.4,7.6,986.2,784.6,50570.2,Public,34095
411,Lululemon athletica,,Retailing,Specialty Retailers: Apparel,yes,50,yes,no,,no,no,no,38000,49225.1,9619.3,18.6,1550.2,81.4,7091.9,Public,49225
412,Albemarle,,Chemicals,Chemicals,yes,81,yes,no,,no,no,no,9000,15482.7,9617.2,31.4,1573.5,-41.5,18270.7,Public,15483
413,JetBlue Airways,,Transportation,Airlines,no,4,yes,no,,no,no,no,21310,2523.8,9615,5,-310,,13853,Public,2524
414,Seaboard,,"Food, Beverages & Tobacco",Food Production,yes,-50,no,yes,,no,no,no,12847,3130.6,9562,-15,226,-61,7566,Public,3131
415,Constellation Brands,,"Food, Beverages & Tobacco",Beverages,no,15,yes,no,,no,no,no,9400,49683.2,9452.6,7.2,-71,,24662.3,Public,49683
416,Graphic Packaging Holding,,Materials,"Packaging, Containers",yes,-7,no,yes,,no,yes,no,23500,8930.6,9428,-0.1,723,38.5,11175,Public,8931
417,Hertz Global Holdings,,Retailing,"Automotive Retailing, Services",yes,18,yes,no,,no,no,no,27000,2390.5,9371,7.9,616,-70.1,24605,Public,2391
418,FM Global,,Financials,Insurance: Property and Casualty (Stock),yes,290,yes,no,,no,no,no,5667,,9359,113.1,3748.5,,34479,Private,
419,Campbell Soup,,"Food, Beverages & Tobacco",Food Consumer Products,yes,23,yes,no,,no,no,no,14500,13250.7,9357,9.3,858,13.3,12058,Public,13251
420,Expeditors Intl. of Washington,,Transportation,Transportation and Logistics,yes,-175,no,yes,,no,no,no,18452,17248.7,9300.1,-45.5,752.9,-44.5,4523.8,Public,17249
421,A-Mark Precious Metals,,Wholesalers,Wholesalers: Diversified,yes,37,yes,no,,no,no,no,421,701.4,9286.6,13.8,156.4,18,1545.6,Public,701
422,Booz Allen Hamilton Holding,,Technology,Information Technology Services,yes,30,yes,no,,no,yes,no,31900,19259.5,9258.9,10.7,271.8,-41.8,6550.7,Public,19260
423,Quest Diagnostics,,Health Care,Health Care: Pharmacy and Other Services,yes,-32,no,yes,,no,yes,no,44000,14782.7,9252,-6.4,854,-9.7,14022,Public,14783
424,Altice USA,,Telecommunications,Telecommunications,yes,-27,no,yes,,no,no,no,10600,1190.5,9237.1,-4.3,53.2,-72.7,31923.6,Public,1191
425,PVH,,Apparel,Apparel,yes,-3,no,yes,,no,no,no,23000,8385.6,9217.7,2.1,663.6,231.1,11172.9,Public,8386
426,Eastman Chemical,,Chemicals,Chemicals,yes,-49,no,yes,,no,no,no,14000,11786.2,9210,-12.9,894,12.7,14633,Public,11786
427,Insight Enterprises,,Technology,Information Technology Services,yes,-48,no,yes,,no,no,no,14437,6046.1,9175.8,-12,281.3,0.2,6286.4,Public,6046
428,Regions Financial,,Financials,Commercial Banks,yes,55,yes,no,,no,no,no,20101,19332.9,9153,21.5,2074,-7.6,152194,Public,19333
429,Beacon Roofing Supply,,Wholesalers,Wholesalers: Diversified,yes,20,yes,no,,no,no,no,8063,6217.6,9119.8,8.2,435,-5.1,6207.7,Public,6218
430,Rockwell Automation,,Industrials,"Electronics, Electrical Equip.",yes,46,yes,no,,no,no,no,29000,33384.1,9058,16.7,1387.4,48.8,11304,Public,33384
431,Polaris,,Transportation,Transportation Equipment,yes,-7,no,yes,,no,no,no,18500,5654.8,9014.8,0.3,502.8,12.5,5516.3,Public,5655
432,ServiceNow,,Technology,Computer Software,yes,67,yes,no,,no,yes,yes,22668,156292,8971,23.8,1731,432.6,17387,Public,156292
433,Sanmina,,Technology,Semiconductors and Other Electronic Components,yes,38,yes,no,,no,no,no,36000,3468.2,8935,12.8,310,28.9,4874,Public,3468
434,UGI,,Energy,Utilities: Gas and Electric,no,-46,no,yes,,no,no,no,10500,5142.4,8928,-11.7,-1502,-240,15401,Public,5142
435,WEC Energy Group,,Energy,Utilities: Gas and Electric,yes,-31,no,yes,,no,no,no,7000,25935.2,8893,-7.3,1331.7,-5.4,43939.7,Public,25935
436,BrightSpring Health Services,,Health Care,Health Care: Pharmacy and Other Services,no,0,no,no,,no,no,no,35000,1860.8,8826.2,14.3,-154.6,,5532.7,Public,1861
437,Cintas,,Business Services,Diversified Outsourcing Services,yes,36,yes,no,,no,yes,no,44500,69695.1,8815.8,12.2,1348,9.1,8546.4,Public,69695
438,Commercial Metals,,Materials,Metals,yes,-10,no,yes,,no,no,no,13022,6800.2,8799.5,-1.3,859.8,-29.4,6639.1,Public,6800
439,Continental Resources,,Energy,"Mining, Crude-Oil Production",yes,-32,no,yes,,no,no,no,1457,,8731.7,-7.8,3095.8,-23.1,22387.4,Private,22342
440,Chesapeake Energy,,Energy,"Mining, Crude-Oil Production",yes,-90,no,yes,,no,no,no,1000,11618.5,8721,-25.7,2419,-51,14376,Public,11619
441,CenterPoint Energy,,Energy,Utilities: Gas and Electric,yes,-28,no,yes,,no,no,no,8827,18035.1,8696,-6.7,917,-13.2,39715,Public,18035
442,NGL Energy Partners,,Energy,Pipelines,yes,25,yes,no,,no,no,no,638,763.3,8694.9,9.4,51.4,,5456.1,Public,763
443,DoorDash,,Technology,Internet Services and Retailing,no,88,yes,no,,no,no,no,19300,55639.5,8635,31.2,-558,,10839,Public,55640
444,NOV,,Energy,"Oil and Gas Equipment, Services",yes,57,yes,no,,no,no,no,33676,7690.9,8583,18.6,993,540.6,11294,Public,7691
445,Zoetis,,Health Care,Pharmaceuticals,yes,18,yes,no,,no,no,no,14100,77475.7,8544,5.7,2344,10.9,14286,Public,77476
446,J.M. Smucker,,"Food, Beverages & Tobacco",Food Consumer Products,no,19,yes,no,,no,no,no,5800,13364.3,8529.2,6.6,-91.3,-114.5,14991.4,Public,13364
447,Microchip Technology,,Technology,Semiconductors and Other Electronic Components,yes,75,yes,no,,no,no,no,22600,48478.2,8438.7,23.7,2237.7,74.1,16370.3,Public,48478
448,Dover,,Industrials,Industrial Machinery,yes,-3,no,yes,,no,no,no,25000,24341.7,8438.1,-0.8,1056.8,-0.8,11348.5,Public,24342
449,Diamondback Energy,,Energy,"Mining, Crude-Oil Production",yes,-49,no,yes,,no,no,no,1023,35362.8,8412,-12.8,3143,-28.3,29001,Public,35363
450,Avery Dennison,,Materials,"Packaging, Containers",yes,-29,no,yes,,no,yes,no,35000,17976.2,8364.3,-7.5,503,-33.6,8209.8,Public,17976
451,PPL,,Energy,Utilities: Gas and Electric,yes,19,yes,no,,no,no,no,6629,20306.2,8312,5.2,740,-2.1,39236,Public,20306
452,ON Semiconductor,,Technology,Semiconductors and Other Electronic Components,yes,2,yes,no,,no,no,no,30050,31430,8253,-0.9,2183.7,14.8,13215.2,Public,31430
453,ARKO,,Retailing,Specialty Retailers: Other,yes,7,yes,no,,no,no,no,13481,662.2,8238.8,1.4,34.4,-52.1,3650.4,Public,662
454,Par Pacific Holdings,,Energy,Petroleum Refining,yes,38,yes,no,,no,no,no,1814,2199.2,8232,12.4,728.6,100.1,3864,Public,2199
455,APA,,Energy,"Mining, Crude-Oil Production",yes,-114,no,yes,,no,no,no,2271,10367.4,8192,-32.5,2855,-22.3,15244,Public,10367
456,Equinix,,Financials,Real estate,yes,41,yes,no,,no,no,no,13151,78093.9,8188.1,12.7,969.2,37.6,32650.7,Public,78094
457,New York Community Bancorp,,Financials,Commercial Banks,no,0,no,no,,no,no,no,8766,2569.3,8178,249.6,-79,-112.2,114057,Public,2569
458,Foot Locker,,Retailing,Specialty Retailers: Apparel,no,-26,no,yes,,no,no,no,30591,2693.1,8168,-6.7,-330,-196.5,6868,Public,2693
459,Ingredion,,"Food, Beverages & Tobacco",Food Production,yes,9,yes,no,,no,yes,no,11600,7665.9,8160,2.7,643,30.7,7642,Public,7666
460,Newell Brands,,Household Products,"Home Equipment, Furnishings",no,-52,no,yes,,no,yes,no,24600,3333.7,8133,-14,-388,-297,12163,Public,3334
461,ABM Industries,,Business Services,Diversified Outsourcing Services,yes,14,yes,no,,no,no,no,123000,2824.1,8096.4,3.7,251.3,9.1,4933.7,Public,2824
462,Securian Financial Group,,Financials,"Insurance: Life, Health (stock)",yes,105,yes,no,,no,no,no,5565,,8067,30.6,226.6,,73457.5,Private,
463,Prologis,,Financials,Real estate,yes,112,yes,no,,no,yes,no,2574,120459.8,8023.5,34.3,3059.2,-9.1,93020.8,Public,120460
464,Blackstone,,Financials,Diversified Financials,yes,-20,no,yes,,no,no,no,4735,93882.8,8022.8,-5.8,1390.9,-20.4,40287.5,Public,93883
465,Skechers U.S.A.,,Apparel,Apparel,yes,23,yes,no,,no,no,no,13550,9389.7,8000.3,7.5,545.8,46.3,7547.4,Public,9390
466,Masco,,Household Products,"Home Equipment, Furnishings",yes,-30,no,yes,,no,no,no,18000,17335.1,7967,-8.2,908,7.6,5363,Public,17335
467,Rush Enterprises,,Retailing,"Automotive Retailing, Services",yes,40,yes,no,,no,no,no,8449,4164.4,7925,11.6,347.1,-11.3,4364.2,Public,4164
468,Franklin Resources,,Financials,Securities,yes,-12,no,yes,,no,no,no,9200,14801.5,7849.4,-5.1,882.8,-31.7,30121.2,Public,14802
469,ODP,,Retailing,Specialty Retailers: Other,yes,-23,no,yes,,no,no,no,20000,1942.6,7831,-7.8,139,-16.3,3886,Public,1943
470,American Financial Group,,Financials,Insurance: Property and Casualty (Stock),yes,40,yes,no,,no,no,no,8500,11418.1,7827,11.2,852,-5.1,29787,Public,11418
471,Packaging Corp. of America,,Materials,"Packaging, Containers",yes,-24,no,yes,,no,yes,no,14900,17033.7,7802.4,-8,765.2,-25.7,8681.1,Public,17034
472,Vulcan Materials,,Materials,"Building Materials, Glass",yes,22,yes,no,,no,no,no,10961,36099.6,7781.9,6.4,933.2,62.1,14545.7,Public,36100
473,Interactive Brokers Group,,Financials,Securities,yes,263,yes,no,,no,no,no,2932,47328.3,7776,90.4,600,57.9,128423,Public,47328
474,Williams-Sonoma,,Retailing,Specialty Retailers: Other,yes,-37,no,yes,,no,no,no,15000,20357.6,7750.7,-10.6,949.8,-15.8,5273.5,Public,20358
475,XPO,,Transportation,Transportation and Logistics,yes,3,yes,no,,no,no,no,39450,14169.3,7744,0.3,189,-71.6,7492,Public,14169
476,Weyerhaeuser,,Materials,Forest and Paper Products,yes,-91,no,yes,,no,no,no,9318,26200.5,7674,-24.6,839,-55.4,16983,Public,26201
477,Genworth Financial,,Financials,"Insurance: Life, Health (stock)",yes,9,yes,no,,no,no,no,2700,2825.7,7488,-0.3,76,-87.5,90817,Public,2826
478,CMS Energy,,Energy,Utilities: Gas and Electric,yes,-37,no,yes,,no,no,no,8356,18018.6,7462,-13.2,887,6,33517,Public,18019
479,Science Applications International,,Technology,Information Technology Services,yes,0,no,no,,no,yes,no,24000,6734.4,7444,-3.4,477,59,5314,Public,6734
480,Jefferies Financial Group,,Financials,Diversified Financials,yes,22,yes,no,,no,no,no,7564,9347.9,7441.4,4.1,277.7,-64.6,57905.2,Public,9348
481,Bath & Body Works,,Retailing,Specialty Retailers: Other,yes,1,yes,no,,no,no,no,33069,11249.3,7429,-1.7,878,9.8,5463,Public,11249
482,Electronic Arts,,Media,Entertainment,yes,30,yes,no,,no,yes,no,13400,35469.4,7426,6.2,802,1.6,13459,Public,35469
483,Taylor Morrison Home,,Engineering & Construction,Homebuilders,yes,-26,no,yes,,no,no,no,2800,6616.7,7417.8,-9.8,768.9,-27,8672.1,Public,6617
484,Zimmer Biomet Holdings,,Health Care,Medical Products and Equipment,yes,25,yes,no,,no,no,no,18000,27116.8,7394.2,4.3,1024,342.5,21496.9,Public,27117
485,Clorox,,Household Products,Household and Personal Products,yes,20,yes,no,,no,no,no,8700,19001.9,7389,4,149,-67.7,5945,Public,19002
486,Xylem,,Industrials,Industrial Machinery,yes,117,yes,no,,no,no,no,23000,31246.4,7364,33.4,609,71.5,16112,Public,31246
487,Voya Financial,,Financials,Diversified Financials,yes,92,yes,no,,no,no,no,9000,7510.9,7348,24.1,625,22.5,157085,Public,7511
488,Fastenal,,Wholesalers,Wholesalers: Diversified,yes,26,yes,no,,no,yes,no,20721,44157,7346.7,5.2,1155,6.3,4462.9,Public,44157
489,Watsco,,Wholesalers,Wholesalers: Diversified,yes,6,yes,no,,no,no,no,7388,17061.3,7283.8,0.1,536.3,-10.8,3729.2,Public,17061
490,Workday,,Technology,Computer Software,yes,72,yes,no,,no,yes,no,18800,72006,7259,16.8,1381,,16452,Public,72006
491,Old Republic International,,Financials,Insurance: Property and Casualty (Stock),yes,-29,no,yes,,no,no,no,9200,8463.5,7258.3,-10.2,598.6,-12.8,26501.4,Public,8464
492,RPM International,,Chemicals,Chemicals,yes,34,yes,no,,no,no,no,17274,15329.3,7256.4,8.2,478.7,-2.6,6782,Public,15329
493,UFP Industries,,Materials,"Building Materials, Glass",yes,-90,no,yes,,no,no,no,15800,7568.8,7218.4,-25,514.3,-25.7,4017.8,Public,7569
494,Ameren,,Energy,Utilities: Gas and Electric,yes,-14,no,yes,,no,no,no,9372,19711.1,7213,-5.9,1152,7.3,40830,Public,19711
495,Knight-Swift Transportation Hldgs.,,Transportation,"Trucking, Truck Leasing",yes,-5,no,yes,,no,no,no,34550,8885.4,7141.8,-3.9,217.1,-71.8,12870.8,Public,8885
496,Monster Beverage,,"Food, Beverages & Tobacco",Beverages,yes,60,yes,no,,no,no,no,5629,61688.9,7140,13.1,1631,36.9,9686.5,Public,61689
497,Intuitive Surgical,,Health Care,Medical Products and Equipment,yes,63,yes,no,,no,no,no,13676,141456.9,7124.1,14.5,1798,36,15441.5,Public,141457
498,Super Micro Computer,,Technology,"Computers, Office Equipment",yes,138,yes,no,,no,no,no,5126,59137.7,7123.5,37.1,640,124.4,3674.7,Public,59138
499,Concentrix,,Technology,Information Technology Services,yes,54,yes,no,,no,no,no,440000,4342.2,7114.7,12.5,313.8,-27.9,12491.8,Public,4342
500,O-I Glass,,Materials,"Packaging, Containers",no,19,yes,no,,no,no,no,23000,2549.4,7105,3.6,-103,-117.6,9669,Public,2549
501,Yum Brands,,"Hotels, Restaurants & Leisure",Food Services,yes,20,yes,no,,no,yes,no,25438,39007.3,7076,3.4,1597,20.5,6231,Public,39007
502,Domtar,,Materials,Forest and Paper Products,yes,166,yes,no,,no,no,no,13000,,7059,49.2,288,-15,7531,Private,1856
503,CommScope Holding,,Technology,Network and Other Communications Equipment,no,-88,no,yes,,no,no,no,20000,278,6999.4,-24.2,-1450.9,,9371.9,Public,278
504,Post Holdings,,"Food, Beverages & Tobacco",Food Consumer Products,yes,41,yes,no,,no,no,no,11430,6449.2,6991,9.4,301.3,-60.2,11646.7,Public,6449
505,Crown Castle,,Financials,Real estate,yes,8,yes,no,,no,no,no,4700,45953,6981,-0.1,1502,-10.3,38527,Public,45953
506,Avantor,,Technology,"Scientific,Photographic and  Control Equipment",yes,-21,no,yes,,no,no,no,14500,17366.5,6967.2,-7.3,321.1,-53.2,12972.7,Public,17367
507,KBR,,Technology,Information Technology Services,no,25,yes,no,,no,no,no,34000,8598.7,6956,6,-265,-239.5,5565,Public,8599
508,Opendoor Technologies,,Technology,Internet Services and Retailing,no,-242,no,yes,,no,no,no,1982,2059.3,6946,-55.4,-275,,3567,Public,2059
509,APi Group,,Engineering & Construction,Engineering & Construction,yes,24,yes,no,,no,no,no,29000,9587.9,6928,5.6,153,109.6,7590,Public,9588
510,EQT,,Energy,Energy,yes,-23,no,yes,,no,no,no,881,16337.5,6908.9,-7.9,1735.2,-2,25285.1,Public,16338
511,EnLink Midstream,,Energy,Pipelines,yes,-105,no,yes,,no,no,no,1072,6181.3,6900.1,-27.7,206.2,-42.9,8328.6,Public,6181
512,Palo Alto Networks,,Technology,Network and Other Communications Equipment,yes,92,yes,no,,no,no,no,13948,91802.4,6892.7,25.3,439.7,,14501.1,Public,91802
513,Xerox Holdings,,Technology,"Computers, Office Equipment",yes,-8,no,yes,,no,no,no,20100,2222.9,6886,-3.1,1,,10008,Public,2223
514,Ingersoll Rand,,Industrials,Industrial Machinery,yes,64,yes,no,,no,no,no,18000,38306.2,6876.1,16.1,778.7,28.8,15563.5,Public,38306
515,Dillard's,,Retailing,General Merchandisers,yes,-4,no,yes,,no,no,no,24900,7654.8,6874.4,-1.7,738.8,-17.1,3448.9,Public,7655
516,Martin Marietta Materials,,Materials,"Building Materials, Glass",yes,23,yes,no,,no,no,no,9400,37955.3,6871.4,6.2,1168.9,34.9,15124.9,Public,37955
517,Vertiv Holdings,,Industrials,"Electronics, Electrical Equip.",yes,80,yes,no,,no,no,no,27000,31195.5,6863.2,20.6,460.2,500.8,7998.5,Public,31196
518,Moderna,,Health Care,Pharmaceuticals,no,-307,no,yes,,no,yes,no,5600,40799.7,6848,-64.5,-4714,-156.4,18426,Public,40800
519,Boise Cascade,,Wholesalers,Wholesalers: Diversified,yes,-68,no,yes,,no,no,no,7300,6067.9,6838.2,-18.5,483.7,-43.6,3458.6,Public,6068
520,Sprouts Farmers Market,,Food & Drug Stores,Food & Drug Stores,yes,21,yes,no,,no,no,no,32000,6526.1,6837.4,6.8,258.9,-0.9,3327.4,Public,6526
