Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
92,Plains GP Holdings,,Energy,Pipelines,yes,-18,no,yes,,yes,no,no,4200,3597.5,48712,-15.1,198,17.9,28597,Public,3862
93,World Kinect,,Energy,Energy,yes,-23,no,yes,,yes,no,no,5289,1583,47710.6,-19.2,52.9,-53.6,7375.3,Public,1579
94,AIG,,Financials,Insurance: Property and Casualty (Stock),yes,-18,no,yes,,yes,no,no,25200,53230.1,46802,-17.1,3643,-64.5,539306,Public,51514
95,Coca-Cola,,"Food, Beverages & Tobacco",Beverages,yes,5,yes,no,,yes,yes,no,79100,263758.6,45754,6.4,10714,12.3,97703,Public,273167
96,TIAA,,Financials,"Insurance: Life, Health (Mutual)",no,7,yes,no,,yes,yes,no,16023,,45734.8,11.8,-1408.9,-385.4,629369.9,Private,
97,CHS,,"Food, Beverages & Tobacco",Food Production,yes,-7,no,yes,,yes,no,no,10609,,45590,-4.6,1900.4,13.2,18957.4,Private,
98,Bristol-Myers Squibb,,Health Care,Pharmaceuticals,yes,-3,no,yes,,yes,yes,no,34100,109911.1,45006,-2.5,8025,26.8,95159,Public,81388
99,Dow,,Chemicals,Chemicals,yes,-24,no,yes,,yes,yes,yes,35900,40740.3,44622,-21.6,589,-87.1,57967,Public,37463
100,Best Buy,,Retailing,Specialty Retailers: Other,yes,-6,no,yes,,yes,yes,no,85000,17667.7,43452,-6.1,1241,-12.5,14967,Public,18444
101,Thermo Fisher Scientific,,Technology,"Scientific,Photographic and  Control Equipment",yes,-4,no,yes,,yes,yes,no,122000,221622.5,42857,-4.6,5995,-13.7,98726,Public,207913
102,Massachusetts Mutual Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",no,2,yes,no,,yes,yes,no,11323,,42641.4,5.9,-771.6,-152,397895,Private,
103,USAA,,Financials,Insurance: Property and Casualty (Stock),yes,11,yes,no,,yes,yes,no,37376,,42493.4,17.1,1213.5,,211637.6,Private,
104,General Dynamics,,Aerospace & Defense,Aerospace & Defense,yes,1,yes,no,,yes,yes,no,111600,77506.3,42272,7.3,3315,-2.2,54810,Public,78309
105,Travelers,,Financials,Insurance: Property and Casualty (Stock),yes,7,yes,no,,yes,yes,no,33133,52731,41364,12.1,2991,5.2,125978,Public,48867
106,Warner Bros. Discovery,,Media,Entertainment,no,12,yes,no,,yes,no,no,35300,21298.5,41321,22.2,-3126,,122757,Public,18181
107,U.S. Bancorp,,Financials,Commercial Banks,yes,42,yes,no,,no,yes,no,75465,69656.5,40624,48.3,5429,-6.8,663491,Public,66086
108,Abbott Laboratories,,Health Care,Medical Products and Equipment,yes,-9,no,yes,,yes,yes,no,114000,197221,40109,-8.1,5723,-17.5,73214,Public,179113
109,Northrop Grumman,,Aerospace & Defense,Aerospace & Defense,yes,4,yes,no,,yes,yes,no,101000,70908.8,39290,7.3,2056,-58,46544,Public,63920
110,Northwestern Mutual,,Financials,"Insurance: Life, Health (Mutual)",yes,1,yes,no,,yes,yes,no,8239,,38788.1,5.1,711.4,-22,358828.6,Private,
111,Dollar General,,Retailing,Specialty Retailers: Other,yes,-3,no,yes,,yes,no,no,185800,34281.9,38691.6,2.2,1661.3,-31.2,30795.6,Public,27918
112,PBF Energy,,Energy,Petroleum Refining,yes,-20,no,yes,,yes,no,no,3776,6860.3,38324.8,-18.2,2140.5,-25.6,14387.8,Public,4790
113,Uber Technologies,,Technology,Internet Services and Retailing,yes,14,yes,no,,yes,yes,no,30400,160258.1,37281,17,1887,,38699,Public,151051
114,Honeywell International,,Industrials,Industrial Machinery,yes,1,yes,no,,yes,yes,no,95000,133860.3,36662,3.4,5658,13.9,61525,Public,140474
115,Mondelez International,,"Food, Beverages & Tobacco",Food Consumer Products,yes,16,yes,no,,yes,yes,no,91000,94253.4,36016,14.4,4959,82.5,71391,Public,86317
116,Starbucks,,"Hotels, Restaurants & Leisure",Food Services,yes,9,yes,no,,yes,yes,no,381000,103471.8,35975.6,11.6,4124.5,25.7,29445.5,Public,82404
117,Qualcomm,,Technology,Semiconductors and Other Electronic Components,yes,-19,no,yes,,yes,yes,no,50000,188938.8,35820,-19,7232,-44.1,51040,Public,232329
118,Broadcom,,Technology,Semiconductors and Other Electronic Components,yes,5,yes,no,,yes,no,no,20000,614223.1,35819,7.9,14082,22.5,72861,Public,797940
119,US Foods Holding,,Wholesalers,Wholesalers: Food and Grocery,yes,-2,no,yes,,yes,no,no,30000,13217.4,35597,4.5,506,90.9,13187,Public,12829
120,D.R. Horton,,Engineering & Construction,Homebuilders,yes,0,no,no,,yes,yes,no,13450,54600.5,35460.4,5.9,4745.7,-19,32582.4,Public,50108
121,Philip Morris International,,"Food, Beverages & Tobacco",Tobacco,yes,7,yes,no,,yes,no,no,82700,142428,35174,10.7,7813,-13.6,65304,Public,163337
122,Paccar,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,18,yes,no,,no,no,no,32400,64919.7,35127.4,21.9,4600.8,52.8,40823.4,Public,54799
123,Salesforce,,Technology,Computer Software,yes,10,yes,no,,yes,yes,yes,72682,292144.6,34857,11.2,4136,1888.5,99823,Public,245021
124,Nucor,,Materials,Metals,yes,-22,no,yes,,yes,yes,no,32000,47492,34713.5,-16.4,4524.8,-40.5,35340.5,Public,39530
125,Jabil,,Technology,Semiconductors and Other Electronic Components,yes,-4,no,yes,,yes,yes,no,236000,17084.7,34702,3.7,818,-17.9,19424,Public,13080
126,Lennar,,Engineering & Construction,Homebuilders,yes,-7,no,yes,,yes,yes,no,12284,47374.8,34233.4,1.7,3938.5,-14.6,39234.3,Public,43389
127,Eli Lilly,,Health Care,Pharmaceuticals,yes,15,yes,no,,no,yes,no,43000,739658,34124.1,19.6,5240.4,-16.1,64006.3,Public,903322
128,Molina Healthcare,,Health Care,Health Care: Insurance and Managed Care,yes,-2,no,yes,,yes,yes,no,18000,24068,34072,6.6,1091,37.8,14892,Public,16755
129,Cummins,,Industrials,Industrial Machinery,yes,17,yes,no,,no,yes,no,75500,41798.1,34065,21.3,735,-65.8,32005,Public,39520
130,Bank of New York Mellon,,Financials,Commercial Banks,yes,71,yes,no,,no,yes,no,53400,43380.4,33805,69.1,3286,27.7,409953,Public,49139
131,Netflix,,Media,Entertainment,yes,-2,no,yes,,yes,yes,no,13000,262827.9,33723.3,6.7,5408,20.4,48732,Public,282865
132,Truist Financial,,Financials,Commercial Banks,no,25,yes,no,,no,no,no,49935,52022.4,33246,31.1,-1091,-117.4,535349,Public,55397
