Year,Company ,Category,EBIDTA Margins (%),Revenue,Revenue Growth,Gross Profit,EBITDA,EBITDA Growth,Cash Flow from Operations,Cash Flow From Operations % of Sales,Modified Free Cash Flow,EBITDA per Employee,Debt/Equity Ratio,Number of Employees,,,,,,,,,,,,,
2013,INTC,ELEC,0.41544028,53341,-1.218541084,33151,22160,-5.866360817,18884,0.354024109,18884,0.211047619,0.2626,105000,,,,,,,,,,,,,
2012,INTC,ELEC,0.435952518,53999,23.78561768,33757,23541,16.38979531,20963,0.388210893,20963,0.235174825,0.1597,100100,,,,,,,,,,,,,
2011,INTC,ELEC,0.463654494,43623,24.18652319,28491,20226,87.9215832,16692,0.382642184,16692,0.245163636,0.0428,82500,,,,,,,,,,,,,
2010,INTC,ELEC,0.306402482,35127,-44.29060805,19561,10763,-29.96941896,11170,0.317989011,11170,0.134874687,0.0533,79800,,,,,,,,,,,,,
2009,INTC,ELEC,0.243743458,63054,,26866,15369,,15433,0.244758461,15433,0.116520091,0.4071,131900,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,AMZN,LOGI,0.126243556,469822,21.69536657,197478,59312,23.36363069,46327,0.098605429,46327,0.036885572,0.3526,1608000,,,,,,,,,,,,,
2021,AMZN,LOGI,0.124536346,386064,37.6234306,152757,48079,32.33966419,66064,0.171121887,66064,0.037040832,0.3406,1298000,,,,,,,,,,,,,
2020,AMZN,LOGI,0.129508559,280522,20.45412582,114986,36330,30.8623298,38514,0.137294045,38514,0.045526316,0.3773,798000,,,,,,,,,,,,,
2019,AMZN,LOGI,0.119208028,232887,30.93396152,93731,27762,78.14425051,30723,0.131922349,30723,0.042875676,0.5395,647500,,,,,,,,,,,,,
2018,AMZN,LOGI,0.08761652,177866,30.79632612,65932,15584,26.67858885,18365,0.103251886,18365,0.027533569,0.893,566000,,,,,,,,,,,,,
2017,AMZN,LOGI,0.09046453,135987,27.08352803,47722,12302,44.49142589,17203,0.126504739,17203,0.036033978,0.399,341400,,,,,,,,,,,,,
2016,AMZN,LOGI,0.079565632,107006,20.24767384,35355,8514,72.90820471,12039,0.11250771,12039,0.036889081,0.6147,230800,,,,,,,,,,,,,
2015,AMZN,LOGI,0.055333303,88988,19.52398861,26236,4924,23.16158079,6842,0.076886771,6842,0.031953277,0.7695,154100,,,,,,,,,,,,,
